,call_type,latitude,longitude
4707,Alarms,37.767244221,-122.5102257491
4726,Alarms,37.7668213317,-122.428814858
4728,Alarms,37.7839808801,-122.42019700549999
4740,Alarms,37.7709133373,-122.4203049943
4785,Alarms,37.7823404681,-122.4037719167
4797,Alarms,37.771114344299995,-122.39036821260001
4798,Alarms,37.7733933056,-122.43911438549999
4804,Alarms,37.7495118728,-122.4236845602
4815,Alarms,37.7950840598,-122.4073868893
4821,Alarms,37.8029850566,-122.4122222317
4839,Alarms,37.7495118728,-122.4236845602
4840,Alarms,37.7940625557,-122.4083227882
4850,Alarms,37.7945675421,-122.4074578085
4860,Alarms,37.7301394309,-122.43226889440001
4920,Alarms,37.7733933056,-122.43911438549999
4921,Alarms,37.783838518,-122.41377551209999
4925,Alarms,37.7950840598,-122.4073868893
4933,Alarms,37.7764944809,-122.4113591384
4940,Alarms,37.7945675421,-122.4074578085
4945,Alarms,37.7862684417,-122.41299723590001
4951,Alarms,37.7495954457,-122.39967876809999
4952,Alarms,37.7919873998,-122.3977335533
4954,Alarms,37.7839808801,-122.42019700549999
4961,Alarms,37.793716564200004,-122.43227948030001
4963,Alarms,37.7303132169,-122.4862054383
4978,Alarms,37.8029850566,-122.4122222317
4997,Alarms,37.7473004189,-122.4269378978
4999,Alarms,37.7862684417,-122.41299723590001
5012,Alarms,37.8029850566,-122.4122222317
5018,Alarms,37.7733723701,-122.4434015735
5023,Alarms,37.767244221,-122.5102257491
5039,Alarms,37.7473004189,-122.4269378978
5057,Alarms,37.7780365108,-122.4154291009
5061,Alarms,37.7121495088,-122.4171412257
5062,Alarms,37.7841909048,-122.4101194835
5064,Alarms,37.7864795346,-122.404724351
5068,Alarms,37.770787682199995,-122.4004625668
5076,Alarms,37.783310406700004,-122.38837987389999
5082,Alarms,37.7787978873,-122.42252070219999
5100,Alarms,37.7567570919,-122.4830288757
5102,Alarms,37.7864795346,-122.404724351
5106,Alarms,37.770787682199995,-122.4004625668
5124,Alarms,37.770787682199995,-122.4004625668
5134,Alarms,37.718722285700004,-122.389118325
5140,Alarms,37.770787682199995,-122.4004625668
5153,Alarms,37.797178599,-122.4101445636
5159,Alarms,37.783310406700004,-122.38837987389999
5163,Alarms,37.783310406700004,-122.38837987389999
5167,Alarms,37.7223883271,-122.42778194809999
5189,Alarms,37.798713995199996,-122.4096183311
5198,Alarms,37.7880205485,-122.42606156129999
5199,Alarms,37.798713995199996,-122.4096183311
5200,Alarms,37.718722285700004,-122.389118325
5207,Alarms,37.7639379044,-122.3942141301
5208,Alarms,37.76410441,-122.4218779741
5235,Alarms,37.7841909048,-122.4101194835
5236,Alarms,37.7639379044,-122.3942141301
5243,Alarms,37.770787682199995,-122.4004625668
5285,Alarms,37.7223883271,-122.42778194809999
5290,Alarms,37.7649491078,-122.4432024674
5299,Alarms,37.7938033883,-122.43904172129999
5304,Alarms,37.7880205485,-122.42606156129999
5307,Alarms,37.7567570919,-122.4830288757
5310,Alarms,37.797178599,-122.4101445636
5312,Alarms,37.7938033883,-122.43904172129999
5313,Alarms,37.7841909048,-122.4101194835
5318,Alarms,37.7733890023,-122.41364500280001
5323,Alarms,37.723805207699996,-122.4733271322
5325,Alarms,37.7796475431,-122.41138596260001
5334,Alarms,37.7986237777,-122.46063469020001
5341,Alarms,37.7839429146,-122.4129523625
5342,Alarms,37.7733890023,-122.41364500280001
5357,Alarms,37.7639379044,-122.3942141301
5359,Alarms,37.7863072236,-122.4052948452
5380,Alarms,37.789580382800004,-122.4128911568
5384,Alarms,37.7121495088,-122.4171412257
